sessionSourceMedium,sessions_current,sessions_previous,sessions_delta,sessions_delta_pct,totalUsers_current,totalUsers_previous,totalUsers_delta,totalUsers_delta_pct,engagedSessions_current,engagedSessions_previous,engagedSessions_delta,engagedSessions_delta_pct,screenPageViews_current,screenPageViews_previous,screenPageViews_delta,screenPageViews_delta_pct
bing / organic,820,569,251,44.11%,700,477,223,46.75%,502,320,182,56.88%,1782,657,1125,171.23%
google / organic,452,377,75,19.89%,381,327,54,16.51%,259,220,39,17.73%,453,386,67,17.36%
(direct) / (none),235,175,60,34.29%,228,169,59,34.91%,41,38,3,7.89%,261,180,81,45%
duckduckgo / organic,42,24,18,75%,36,22,14,63.64%,23,13,10,76.92%,56,27,29,107.41%
yahoo / organic,34,14,20,142.86%,31,14,17,121.43%,15,11,4,36.36%,37,16,21,131.25%
chatgpt.com / referral,8,13,-5,-38.46%,6,12,-6,-50%,5,8,-3,-37.5%,126,14,112,800%
cn.bing.com / referral,7,7,0,0%,7,6,1,16.67%,5,4,1,25%,7,7,0,0%
openai / organic,5,3,2,66.67%,5,3,2,66.67%,5,3,2,66.67%,5,16,-11,-68.75%
confluence.daj-net.daj.co.jp:8443 / referral,4,0,4,,2,0,2,,2,0,2,,3,0,3,
doubao.com / referral,4,2,2,100%,4,2,2,100%,3,1,2,200%,4,2,2,100%
ecosia.org / organic,4,1,3,300%,4,1,3,300%,2,1,1,100%,6,1,5,500%
openai / (not set),4,3,1,33.33%,4,3,1,33.33%,4,3,1,33.33%,24,15,9,60%
(not set),3,2,1,50%,3,2,1,50%,0,0,0,,3,1,2,200%
copilot.com / referral,3,0,3,,2,0,2,,1,0,1,,2,0,2,
github.com / referral,3,0,3,,1,0,1,,1,0,1,,2,0,2,
perplexity.ai / referral,3,2,1,50%,3,1,2,200%,1,1,0,0%,4,1,3,300%
t.co / referral,3,5,-2,-40%,3,4,-1,-25%,2,3,-1,-33.33%,3,5,-2,-40%
hitachigroup.okta.com / referral,2,0,2,,1,0,1,,0,0,0,,1,0,1,
us.search.yahoo.com / referral,2,0,2,,1,0,1,,1,0,1,,2,0,2,
chatgpt.com / (not set),1,7,-6,-85.71%,1,7,-6,-85.71%,1,4,-3,-75%,1,7,-6,-85.71%
claude.ai / referral,1,0,1,,1,0,1,,0,0,0,,1,0,1,
docs.google.com / referral,1,0,1,,1,0,1,,0,0,0,,1,0,1,
service.smt.docomo.ne.jp / referral,0,4,-4,-100%,0,3,-3,-100%,0,3,-3,-100%,0,5,-5,-100%
statics.teams.cdn.office.net / referral,0,3,-3,-100%,0,3,-3,-100%,0,2,-2,-100%,0,3,-3,-100%
search.portal.auone.jp / referral,0,2,-2,-100%,0,2,-2,-100%,0,2,-2,-100%,0,3,-3,-100%
es.search.yahoo.com / referral,0,1,-1,-100%,0,1,-1,-100%,0,1,-1,-100%,0,1,-1,-100%
perplexity / (not set),0,1,-1,-100%,0,1,-1,-100%,0,1,-1,-100%,0,1,-1,-100%
prisma-cp.paprisma:6082 / referral,0,1,-1,-100%,0,1,-1,-100%,0,1,-1,-100%,0,1,-1,-100%
rss / rss,0,1,-1,-100%,0,1,-1,-100%,0,1,-1,-100%,0,1,-1,-100%
safe.menlosecurity.com / referral,0,1,-1,-100%,0,1,-1,-100%,0,1,-1,-100%,0,1,-1,-100%
uk.search.yahoo.com / referral,0,1,-1,-100%,0,1,-1,-100%,0,0,0,,0,1,-1,-100%
vercel.com / referral,0,1,-1,-100%,0,1,-1,-100%,0,0,0,,0,1,-1,-100%
